Item,A Light in the Attic,Black Dust,Chase Me (Paris Nights #2),"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",How Music Works,In Her Wake,It's Only the Himalayas,Libertarianism for Beginners,Mesaerion: The Best Science Fiction Stories 1800-1849,Olio,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Rip it Up and Start Again,Sapiens: A Brief History of Humankind,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Set Me Free,Shakespeare's Sonnets,Sharp Objects,Soumission,"Starving Hearts (Triangular Trade Trilogy, #1)",The Black Maria,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",The Dirty Little Secrets of Getting Your Dream Job,The Requiem Red,Tipping the Velvet
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",0.756192731121231,0.7477833038552658,0.6541974252863126,0.7242392378771619,0.7377180261163282,0.7377552249281891,0.7588467825698778,0.6941468593761223,0.7441985068679734,0.7249343695707995,1.0000000000000002,0.7405296650850086,0.731380698625568,0.7621267356265343,0.7301058794714632,0.7765520385571778,0.7456119014059281,0.6622985605188618,0.8076458956711924,0.7370773677009838,0.68252461138789,0.7403534723768266,0.668647564415374,0.6693833042875554,0.7538517296931778
Rip it Up and Start Again,0.7198764868202853,0.8088935399796449,0.755859378630599,0.7269816269958822,0.7290159107268688,0.6968232081633423,0.7447179181227855,0.6984054975339515,0.7791030153730092,0.8108761221854771,0.7405296650850086,0.9999999999999999,0.804838208108574,0.7400863470432778,0.6989752985050047,0.7779573418755283,0.7687418685436705,0.7540634727879845,0.6968629280526765,0.7887852863990035,0.6971580335373458,0.7290000793746931,0.6630376887360256,0.6798788966564394,0.7984487881908262
Sapiens: A Brief History of Humankind,0.7208650252543418,0.7207204147081216,0.7050226716854128,0.7691078634699938,0.7739840565223245,0.6515130114296006,0.836803224444083,0.7670351659956681,0.7587611591824278,0.6647421300705975,0.731380698625568,0.804838208108574,1.0000000000000002,0.7301806922564571,0.6578531455796106,0.7740798956503084,0.7902254559129633,0.7326508788431202,0.662636518291197,0.7398713887562897,0.6991685510302267,0.694530052998789,0.7508139755874156,0.7932761684657071,0.8011408173460604
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),0.668447096287623,0.7153591794624535,0.7115514504324789,0.751915029808617,0.6858194481955793,0.6350372244102032,0.7163150517042997,0.7000730192362155,0.7079472456590122,0.7544161461572426,0.7621267356265343,0.7400863470432778,0.7301806922564571,1.0,0.6280983144641983,0.6902427913424153,0.7378778583322841,0.6923816593193636,0.688436506340798,0.713959054336832,0.7267945733631525,0.6677534949751699,0.7033164903382624,0.7242419399899362,0.6946473448840399
Set Me Free,0.6775138446017861,0.7507378431307393,0.6733620801434005,0.6351834247015271,0.7768875491337891,0.67879925931917,0.653654023556156,0.6939871941876506,0.6637832871982627,0.7483316320950637,0.7301058794714632,0.6989752985050047,0.6578531455796106,0.6280983144641983,0.9999999999999999,0.7069663397977176,0.6397075100445901,0.6419976959037574,0.7784034776110264,0.7167032209047093,0.5687059450728087,0.7327844587300035,0.6864405997546582,0.7053355943693231,0.6950481848303314
Shakespeare's Sonnets,0.589834271081301,0.729883658570153,0.6580925537788203,0.6694683943607872,0.7729004671860413,0.5795197252554121,0.7557842677444166,0.7206339602884603,0.7361534309255024,0.6947085424944829,0.7765520385571778,0.7779573418755283,0.7740798956503084,0.6902427913424153,0.7069663397977176,0.9999999999999997,0.7785919133141189,0.7321648358182775,0.6222926376424865,0.7399217047181537,0.6273226274744157,0.701747321579288,0.7055654835706604,0.6382363400934796,0.7551201709443258
Sharp Objects,0.7049713197198144,0.7090205773168555,0.7693268769189111,0.7653769309034885,0.79486028614868,0.6537934339071727,0.7937564904382636,0.722375645320932,0.7838387992689106,0.7587384836530985,0.7456119014059281,0.7687418685436705,0.7902254559129633,0.7378778583322841,0.6397075100445901,0.7785919133141189,1.0,0.7751305475947149,0.6903227269418577,0.7414836032952719,0.6645901817886736,0.719259792485514,0.6937560222138311,0.7108214630081757,0.7304735002920221
Soumission,0.6868700885027842,0.7095972278739899,0.7770917954095138,0.7314598191321086,0.7396062762707047,0.6425295162503477,0.7744896688138095,0.6758221043938708,0.7338776518420186,0.6818952339930234,0.6622985605188618,0.7540634727879845,0.7326508788431202,0.6923816593193636,0.6419976959037574,0.7321648358182775,0.7751305475947149,1.0000000000000002,0.6451593376522821,0.7676059926898964,0.6551437494467446,0.7066327777664434,0.7270235442574815,0.5926071407274791,0.7161449057057968
"Starving Hearts (Triangular Trade Trilogy, #1)",0.6907423658135172,0.7029104253864534,0.7035986756160321,0.709024450365187,0.7225610223314957,0.7408587512903579,0.7262527660070127,0.6710358220449633,0.7272662216119448,0.7659621911187932,0.8076458956711924,0.6968629280526765,0.662636518291197,0.688436506340798,0.7784034776110264,0.6222926376424865,0.6903227269418577,0.6451593376522821,1.0,0.6779897468636973,0.6349490408814055,0.7401480181582519,0.726965077172856,0.6428484513367192,0.6983330825663525
The Black Maria,0.6336945840946813,0.7241259163417076,0.7438519422515713,0.7265825412256298,0.7384885497854731,0.6428839828071874,0.7577144965186549,0.6366317700439177,0.6933017906232144,0.7483441744133369,0.7370773677009838,0.7887852863990035,0.7398713887562897,0.713959054336832,0.7167032209047093,0.7399217047181537,0.7414836032952719,0.7676059926898964,0.6779897468636973,0.9999999999999996,0.6538350071407284,0.7484662764301406,0.7002315815374416,0.637101205193788,0.7713082035842383
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,0.6687773982401106,0.6102180996356023,0.6625195063691911,0.6764929475609829,0.6908884317694949,0.6344582443383805,0.7763382376405266,0.7162173169577111,0.747109963229208,0.6448404031610266,0.68252461138789,0.6971580335373458,0.6991685510302267,0.7267945733631525,0.5687059450728087,0.6273226274744157,0.6645901817886736,0.6551437494467446,0.6349490408814055,0.6538350071407284,0.9999999999999998,0.6443453151027988,0.6840492281878803,0.6749654658067037,0.6510973727428594
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",0.7056533902640624,0.7316245823807933,0.6712713891199775,0.6637302650772338,0.7313458141589918,0.7424901390774481,0.7186525502165648,0.7678256093059569,0.7536806871704905,0.7163824035811936,0.7403534723768266,0.7290000793746931,0.694530052998789,0.6677534949751699,0.7327844587300035,0.701747321579288,0.719259792485514,0.7066327777664434,0.7401480181582519,0.7484662764301406,0.6443453151027988,0.9999999999999994,0.7614365632038698,0.689764973149358,0.7855410293328119
The Dirty Little Secrets of Getting Your Dream Job,0.6420623015869538,0.6555434910434264,0.7238585649077242,0.7001247251282644,0.7884452408141074,0.7227779143779004,0.6832034813101643,0.7369426661630541,0.8078250907265072,0.6946156196486634,0.668647564415374,0.6630376887360256,0.7508139755874156,0.7033164903382624,0.6864405997546582,0.7055654835706604,0.6937560222138311,0.7270235442574815,0.726965077172856,0.7002315815374416,0.6840492281878803,0.7614365632038698,1.0,0.7382621951699967,0.7154366262939518
The Requiem Red,0.6600068317502743,0.6898300715070259,0.7200837230762724,0.7168201240485674,0.7458285758134751,0.6693579634248185,0.713580953894031,0.7476718981844689,0.7159037027903744,0.67290172619397,0.6693833042875554,0.6798788966564394,0.7932761684657071,0.7242419399899362,0.7053355943693231,0.6382363400934796,0.7108214630081757,0.5926071407274791,0.6428484513367192,0.637101205193788,0.6749654658067037,0.689764973149358,0.7382621951699967,0.9999999999999997,0.7013489550156112
Tipping the Velvet,0.6661952725624539,0.7548353065713147,0.6628179785826451,0.7570882449620775,0.7368206742133286,0.6557380098078719,0.7988829818244979,0.7123560531656614,0.7669639850315328,0.6776836315902686,0.7538517296931778,0.7984487881908262,0.8011408173460604,0.6946473448840399,0.6950481848303314,0.7551201709443258,0.7304735002920221,0.7161449057057968,0.6983330825663525,0.7713082035842383,0.6510973727428594,0.7855410293328119,0.7154366262939518,0.7013489550156112,1.0
